"filename", "language", "Java", "Markdown", "XML", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/utils/ui/event/Hover.class", "Java", 12, 0, 0, 0, 0, 12
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/utils/ui/event/Mouse$1.class", "Java", 7, 0, 0, 0, 0, 7
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/utils/ui/event/Mouse.class", "Java", 9, 0, 0, 0, 0, 9
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/App$1.class", "Java", 21, 0, 0, 0, 3, 24
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/App.class", "Java", 20, 0, 0, 0, 0, 20
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/LoginPanel$1.class", "Java", 16, 0, 0, 0, 1, 17
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/LoginPanel.class", "Java", 85, 0, 0, 21, 1, 107
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/RegisterPanel$1.class", "Java", 61, 0, 0, 0, 1, 62
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/RegisterPanel$2.class", "Java", 17, 0, 0, 0, 0, 17
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/RegisterPanel.class", "Java", 94, 0, 0, 0, 2, 96
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/widget/DateTimeWidget.class", "Java", 29, 0, 0, 0, 0, 29
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/bin/views/widget/UpdateTime.class", "Java", 15, 0, 0, 0, 0, 15
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/resources/artboards/login-image.svg", "XML", 0, 0, 9, 0, 1, 10
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/CaseTest.java", "Java", 62, 0, 0, 0, 15, 77
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/CitizenTest.java", "Java", 25, 0, 0, 0, 10, 35
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/FirTest.java", "Java", 57, 0, 0, 0, 16, 73
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/OICTest.java", "Java", 14, 0, 0, 0, 5, 19
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/PoliceTest.java", "Java", 39, 0, 0, 0, 12, 51
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/Test/VerdictTest.java", "Java", 28, 0, 0, 0, 9, 37
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/config/passwordEncoderConfig/Encoder.java", "Java", 12, 0, 0, 0, 5, 17
"/Users/saugatsingh/Documents/Projects/Sentinel Criminal Records Management/Sentinel/src/config/sentinelErrorConfig/Exceptions/ExceptionsImpl/SentinelExceptionsImpl.java", "Java", 33, 0, 0, 0, 11, 44
